Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
What is 3 + 4?,A,3 plus 4 equals 7.,,7,8,6,9,,,,Chapter 5: Addition Basics,Question,Adding within 10 Q1,Multiple Choice,Chapter 5/Adding within 10
Solve: 5 + 2 = __,B,5 plus 2 equals 7.,,8,7,6,9,,,,Chapter 5: Addition Basics,Question,Adding within 10 Q2,Multiple Choice,Chapter 5/Adding within 10
Add 6 and 3. What is the sum?,C,6 plus 3 equals 9.,,8,10,9,11,,,,Chapter 5: Addition Basics,Question,Adding within 10 Q3,Multiple Choice,Chapter 5/Adding within 10
What is 7 + 1?,D,7 plus 1 equals 8.,,10,9,7,8,,,,Chapter 5: Addition Basics,Question,Adding within 10 Q4,Multiple Choice,Chapter 5/Adding within 10
Solve: 4 + 5 = __,A,4 plus 5 equals 9.,,9,10,8,11,,,,Chapter 5: Addition Basics,Question,Adding within 10 Q5,Multiple Choice,Chapter 5/Adding within 10
Add 8 and 2. What is the sum?,B,8 plus 2 equals 10.,,11,10,9,12,,,,Chapter 5: Addition Basics,Question,Adding within 10 Q6,Multiple Choice,Chapter 5/Adding within 10
What is 9 + 1?,C,9 plus 1 equals 10.,,9,11,10,12,,,,Chapter 5: Addition Basics,Question,Adding within 10 Q7,Multiple Choice,Chapter 5/Adding within 10
Solve: 6 + 4 = __,D,6 plus 4 equals 10.,,12,11,9,10,,,,Chapter 5: Addition Basics,Question,Adding within 10 Q8,Multiple Choice,Chapter 5/Adding within 10
Add 2 and 7. What is the sum?,A,2 plus 7 equals 9.,,9,10,8,11,,,,Chapter 5: Addition Basics,Question,Adding within 10 Q9,Multiple Choice,Chapter 5/Adding within 10
What is 10 + 0?,B,10 plus 0 equals 10.,,11,10,9,12,,,,Chapter 5: Addition Basics,Question,Adding within 10 Q10,Multiple Choice,Chapter 5/Adding within 10
Solve: 3 + 6 = __,C,3 plus 6 equals 9.,,8,10,9,11,,,,Chapter 5: Addition Basics,Question,Adding within 10 Q11,Multiple Choice,Chapter 5/Adding within 10
Add 5 and 4. What is the sum?,D,5 plus 4 equals 9.,,11,10,8,9,,,,Chapter 5: Addition Basics,Question,Adding within 10 Q12,Multiple Choice,Chapter 5/Adding within 10
Select each expression that equals 8.,"A,B,C,D,E",All listed expressions total 8.,,3 + 5,6 + 2,4 + 4,7 + 1,2 + 6,,,Chapter 5: Addition Basics,Question,Adding within 10 Q13,Select All That Apply,Chapter 5/Adding within 10
Select each equation with a sum of 10.,"A,C,D,E",Those sums equal 10; 7 + 2 equals 9 so it does not belong.,,8 + 2,7 + 2,5 + 5,6 + 4,10 + 0,,,Chapter 5: Addition Basics,Question,Adding within 10 Q14,Select All That Apply,Chapter 5/Adding within 10
Select each sum that is greater than 6.,"B,C,E",Only the highlighted expressions total more than 6.,,3 + 3,4 + 5,2 + 6,1 + 5,5 + 4,,,Chapter 5: Addition Basics,Question,Adding within 10 Q15,Select All That Apply,Chapter 5/Adding within 10
