Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
Count the ladybugs: 🐞 How many ladybugs are there?,A,"The set shows 1 ladybug, so 1 is the matching number.",,1,0,2,3,,,,Chapter 1: Numbers and Counting,Question,Counting 1-5 Q1,Multiple Choice,Chapter 1/Counting 1-5
How many stars do you see here: ⭐⭐?,B,"The set shows 2 stars, so 2 is the matching number.",,1,2,3,4,,,,Chapter 1: Numbers and Counting,Question,Counting 1-5 Q2,Multiple Choice,Chapter 1/Counting 1-5
What number tells how many balloons are shown: 🎈🎈🎈?,C,"The set shows 3 balloons, so 3 is the matching number.",,4,2,3,5,,,,Chapter 1: Numbers and Counting,Question,Counting 1-5 Q3,Multiple Choice,Chapter 1/Counting 1-5
Count the cars: 🚗🚗🚗🚗 How many cars are there?,D,"The set shows 4 cars, so 4 is the matching number.",,6,3,5,4,,,,Chapter 1: Numbers and Counting,Question,Counting 1-5 Q4,Multiple Choice,Chapter 1/Counting 1-5
How many flowers do you see here: 🌼🌼🌼🌼🌼?,A,"The set shows 5 flowers, so 5 is the matching number.",,5,4,6,7,,,,Chapter 1: Numbers and Counting,Question,Counting 1-5 Q5,Multiple Choice,Chapter 1/Counting 1-5
What number tells how many books are shown: 📘📘?,B,"The set shows 2 books, so 2 is the matching number.",,1,2,3,4,,,,Chapter 1: Numbers and Counting,Question,Counting 1-5 Q6,Multiple Choice,Chapter 1/Counting 1-5
Count the cookies: 🍪🍪🍪🍪 How many cookies are there?,C,"The set shows 4 cookies, so 4 is the matching number.",,5,3,4,6,,,,Chapter 1: Numbers and Counting,Question,Counting 1-5 Q7,Multiple Choice,Chapter 1/Counting 1-5
How many hearts do you see here: ❤️?,D,"The set shows 1 heart, so 1 is the matching number.",,3,0,2,1,,,,Chapter 1: Numbers and Counting,Question,Counting 1-5 Q8,Multiple Choice,Chapter 1/Counting 1-5
What number tells how many drums are shown: 🥁🥁🥁?,A,"The set shows 3 drums, so 3 is the matching number.",,3,2,4,5,,,,Chapter 1: Numbers and Counting,Question,Counting 1-5 Q9,Multiple Choice,Chapter 1/Counting 1-5
Count the rockets: 🚀🚀🚀🚀🚀 How many rockets are there?,B,"The set shows 5 rockets, so 5 is the matching number.",,4,5,6,7,,,,Chapter 1: Numbers and Counting,Question,Counting 1-5 Q10,Multiple Choice,Chapter 1/Counting 1-5
How many ladybugs do you see here: 🐞🐞?,C,"The set shows 2 ladybugs, so 2 is the matching number.",,3,1,2,4,,,,Chapter 1: Numbers and Counting,Question,Counting 1-5 Q11,Multiple Choice,Chapter 1/Counting 1-5
What number tells how many stars are shown: ⭐⭐⭐⭐?,D,"The set shows 4 stars, so 4 is the matching number.",,6,3,5,4,,,,Chapter 1: Numbers and Counting,Question,Counting 1-5 Q12,Multiple Choice,Chapter 1/Counting 1-5
Select each option that shows exactly 1 balloons.,"A,D",Any option with 1 balloon is correct; the others show different amounts.,,🎈 (1 balloon),🎈🎈 (2 balloons), (0 balloons),🎈 (1 balloon),🎈🎈🎈 (3 balloons),,,Chapter 1: Numbers and Counting,Question,Counting 1-5 Q13,Select All That Apply,Chapter 1/Counting 1-5
Select each option that shows exactly 3 cars.,"A,D",Any option with 3 cars is correct; the others show different amounts.,,🚗🚗🚗 (3 cars),🚗🚗🚗🚗 (4 cars),🚗🚗 (2 cars),🚗🚗🚗 (3 cars),🚗🚗🚗🚗🚗 (5 cars),,,Chapter 1: Numbers and Counting,Question,Counting 1-5 Q14,Select All That Apply,Chapter 1/Counting 1-5
Select each option that shows exactly 5 flowers.,"A,D",Any option with 5 flowers is correct; the others show different amounts.,,🌼🌼🌼🌼🌼 (5 flowers),🌼🌼🌼🌼🌼🌼 (6 flowers),🌼🌼🌼🌼 (4 flowers),🌼🌼🌼🌼🌼 (5 flowers),🌼🌼🌼🌼🌼🌼🌼 (7 flowers),,,Chapter 1: Numbers and Counting,Question,Counting 1-5 Q15,Select All That Apply,Chapter 1/Counting 1-5
